filename	title	author	source_url	foreground	background
01-ship-wheel.svg	ship wheel	delapouite	https://game-icons.net/1x1/delapouite/ship-wheel.html	#6ca4e8	#2f3338
02-sprint.svg	sprint	lorc	https://game-icons.net/1x1/lorc/sprint.html	#f58b49	#2f3338
03-falling-blob.svg	falling blob	lorc	https://game-icons.net/1x1/lorc/falling-blob.html	#f1c75b	#2f3338
04-shambling-zombie.svg	shambling zombie	delapouite	https://game-icons.net/1x1/delapouite/shambling-zombie.html	#9dd890	#2f3338
05-person-in-blizzard.svg	person in blizzard	lorc	https://game-icons.net/1x1/lorc/person-in-blizzard.html	#e9c768	#2f3338
06-diplodocus.svg	diplodocus	delapouite	https://game-icons.net/1x1/delapouite/diplodocus.html	#f0c454	#2f3338
07-drop-weapon.svg	drop weapon	skoll	https://game-icons.net/1x1/skoll/drop-weapon.html	#96d99c	#2f3338
08-unlit-bomb.svg	unlit bomb	lorc	https://game-icons.net/1x1/lorc/unlit-bomb.html	#6da2df	#2f3338
09-sword-clash.svg	sword clash	lorc	https://game-icons.net/1x1/lorc/sword-clash.html	#f08b4b	#2f3338
10-disintegrate.svg	disintegrate	lorc	https://game-icons.net/1x1/lorc/disintegrate.html	#a6df9e	#2f3338
11-whistle.svg	whistle	delapouite	https://game-icons.net/1x1/delapouite/whistle.html	#f0c85f	#2f3338
12-spyglass.svg	spyglass	lorc	https://game-icons.net/1x1/lorc/spyglass.html	#c79ad8	#2f3338
13-revolver.svg	revolver	delapouite	https://game-icons.net/1x1/delapouite/revolver.html	#8fd08f	#2f3338
14-sword-slice.svg	sword slice	lorc	https://game-icons.net/1x1/lorc/sword-slice.html	#9dd58f	#2f3338
15-vine-leaf.svg	vine leaf	lorc	https://game-icons.net/1x1/lorc/vine-leaf.html	#7dc99a	#2f3338
16-rally-the-troops.svg	rally the troops	lorc	https://game-icons.net/1x1/lorc/rally-the-troops.html	#9fd390	#2f3338
17-annexation.svg	annexation	cathelineau	https://game-icons.net/1x1/cathelineau/annexation.html	#bb8fca	#2f3338
18-haunting.svg	haunting	lorc	https://game-icons.net/1x1/lorc/haunting.html	#f28b4f	#2f3338
19-cryo-chamber.svg	cryo chamber	delapouite	https://game-icons.net/1x1/delapouite/cryo-chamber.html	#7ca5e1	#2f3338
20-robot-golem.svg	robot golem	lorc	https://game-icons.net/1x1/lorc/robot-golem.html	#84d08c	#2f3338
